year,theme,theme_name,citations,title,authors,venue,doi,url
2026,B,Wave measurement methodology,2,Eulerian–Lagrangian simulation of wave-induced microplastic dispersion in nearshore zones: Processes and implications,"Rahmani, Stocchino","Estuarine, Coastal and Shelf Science",10.1016/j.ecss.2025.109626,https://doi.org/10.1016/j.ecss.2025.109626
2026,E,Validation & intercomparison,1,Rogue wave indicators from global models and buoy data,"Azevedo, Marcon, Meyers, Luther",Ocean Science,10.5194/os-22-367-2026,https://doi.org/10.5194/os-22-367-2026
2026,B,Wave measurement methodology,0,Wave estimation solution based on wave buoy analogy: Development and application to in-service ship operational data,"Lee, Park, Ko, Choi",Ocean Engineering,10.1016/j.oceaneng.2026.126694,https://doi.org/10.1016/j.oceaneng.2026.126694
2026,B,Wave measurement methodology,0,Arctic deployment of a fully integrated self-powered drifting buoy harvesting wave energy via a triboelectric nanogenerator,"Lu, Jung, Hwang, Martinez, Branch, Deng",Nano Energy,10.1016/j.nanoen.2026.111830,https://doi.org/10.1016/j.nanoen.2026.111830
2026,D,"Drift, transport & trajectory",0,Short-Term Drifter Position Estimation Based on Ship-Generated Waves for Search and Rescue,"Zhao, Kang, Lee",Journal of Ocean Engineering and Technology,10.26748/ksoe.2025.048,https://doi.org/10.26748/ksoe.2025.048
2026,D,"Drift, transport & trajectory",0,Modeling the convergence of buoyant debris in the Indian Ocean: Insights from surface drifter trajectories and Lagrangian simulations,"Chauchadis, Maes, Blanke, Carton",Marine Pollution Bulletin,10.1016/j.marpolbul.2026.119732,https://doi.org/10.1016/j.marpolbul.2026.119732
2026,E,Validation & intercomparison,0,Comparative analysis of hindcast data against wave buoy measurement for a site in the mediterranean sea,"Ameer, Lo Re, Jiang, Cappietti",Ships and Offshore Structures,10.1080/17445302.2026.2658742,https://doi.org/10.1080/17445302.2026.2658742
2026,B,Wave measurement methodology,0,Research on wave buoy calibration using the vertical lifting method of a linear motor,"Huang, Zhai, Gao, He, Zhang, Zhang",Measurement Science and Technology,10.1088/1361-6501/ae3595,https://doi.org/10.1088/1361-6501/ae3595
2026,B,Wave measurement methodology,0,Optimization and parameter influence analysis of heave plate OWC wave energy buoy under broadband wave conditions,"Zhang, Ren, Li, Yang, Cao, Liu et al.",Energy,10.1016/j.energy.2026.141667,https://doi.org/10.1016/j.energy.2026.141667
2026,B,Wave measurement methodology,0,A very small wave buoy: The challenges learned from a proof-of-concept field experiment,"Yurovsky, Kudinov",Ocean Engineering,10.1016/j.oceaneng.2026.124212,https://doi.org/10.1016/j.oceaneng.2026.124212
2026,B,Wave measurement methodology,0,A graph neural network model for wave buoy data imputation using spatiotemporal information,"Tan, Gao, Xu, Stocchino",Ocean Engineering,10.1016/j.oceaneng.2026.124346,https://doi.org/10.1016/j.oceaneng.2026.124346
2026,A,Platform & sensor hardware,0,Heave added mass coefficient of a spherical buoy,"Usman, Behera, Masoud",Journal of Engineering Mathematics,10.1007/s10665-026-10523-5,https://doi.org/10.1007/s10665-026-10523-5
2026,B,Wave measurement methodology,0,A nonlinear second-order Lagrangian wave model for real-time phase-resolved ocean wave prediction,Kim,Ocean Engineering,10.1016/j.oceaneng.2026.126353,https://doi.org/10.1016/j.oceaneng.2026.126353
2026,B,Wave measurement methodology,0,Enhancing Wave Prediction Using Machine Learning: Modeling Nonlinear Components in 3D Wave Buoy Motion,"Ding, Chen, Taylor, Zhao",Journal of Offshore Mechanics and Arctic Engineering,10.1115/1.4071999,https://doi.org/10.1115/1.4071999
2026,B,Wave measurement methodology,0,Data assimilation of typhoon-generated ocean waves using a drifting buoy observation network: case study of typhoon NANMADOL in 2022,"Yamasaki, Shimura, Mori, Miyashita",Coastal Engineering Journal,10.1080/21664250.2026.2645471,https://doi.org/10.1080/21664250.2026.2645471
2026,D,"Drift, transport & trajectory",0,Estimation and Analysis of Stokes Drift Based on CFOSAT Wave Spectrum Data,"Duan, Song",Remote Sensing,10.3390/rs18040574,https://doi.org/10.3390/rs18040574
2026,D,"Drift, transport & trajectory",0,Stokes Drift and Wind Drift in a Rotating Equilibrium Sea,"Samelson, Zippel",Journal of Physical Oceanography,10.1175/jpo-d-25-0198.1,https://doi.org/10.1175/jpo-d-25-0198.1
2026,D,"Drift, transport & trajectory",0,Simulation of the wave-induced Stokes drift effect under typhoon conditions using FVCOM: Impacts on the upper ocean temperature,"Wang, Han, Shi, Shi",Journal of Physics: Conference Series,10.1088/1742-6596/3178/1/012004,https://doi.org/10.1088/1742-6596/3178/1/012004
2025,D,"Drift, transport & trajectory",12,Non-negligible impact of Stokes drift and wave-driven Eulerian currents on simulated surface particle dispersal in the Mediterranean Sea,"Rühs, van den Bremer, Clementi, Denes, Moulin, van Sebille",Ocean Science,10.5194/os-21-217-2025,https://doi.org/10.5194/os-21-217-2025
2025,B,Wave measurement methodology,6,Estimation of Directional Wave Spectra with Motion Data of Floating Structure Using Complex-Valued Neural Networks,"Yoon, Park, Kim",Applied Sciences,10.3390/app15031603,https://doi.org/10.3390/app15031603
2025,B,Wave measurement methodology,5,Comparison of vector wave displacements from a moored and a drifting Spotter buoy—from an accidental Indian Ocean voyage,"Hlophe, Taylor, Hansen, Wolgamot, Cuttler",Ocean Engineering,10.1016/j.oceaneng.2025.120967,https://doi.org/10.1016/j.oceaneng.2025.120967
2025,G,Air-sea interaction & remote sensing,5,Comprehensive Assessment of Ocean Surface Current Retrievals Using SAR Doppler Shift and Drifting Buoy Observations,"Fan, Zhang, Kudryavtsev",Remote Sensing,10.3390/rs17122007,https://doi.org/10.3390/rs17122007
2025,D,"Drift, transport & trajectory",5,Physics-informed neural networks to reconstruct surface velocity field from drifter data,"Bang, Altaher, Zhuang, Altaher, Srinivasan, Chérubin",Frontiers in Marine Science,10.3389/fmars.2025.1547995,https://doi.org/10.3389/fmars.2025.1547995
2025,B,Wave measurement methodology,4,Evaluation of the 3D response and performance of an operational wave buoy for coastal wave monitoring,"Benetazzo, Bergamasco, Barbariol, Ferla, Nardone, Orasi et al.",Coastal Engineering,10.1016/j.coastaleng.2025.104756,https://doi.org/10.1016/j.coastaleng.2025.104756
